Commercial_Code,Service_Industry_Name,Administrative_District,Deposit_Amount,Monthly_Rent,Workplace,Resident,Male,Female,Monthly_Average_Sales,Age_Group_10s,Age_Group_20s,Age_Group_30s,Age_Group_40s,Age_Group_50s,Age_Group_60s
3001491,분식전문점,용산구,2671,10,53.15,46.85,49.73,50.27,16912,0,1,0,0,0,0
3001491,양식음식점,용산구,3132,10,53.15,46.85,49.73,50.27,723149,1,1,1,1,1,1
3001491,일식음식점,용산구,4221,11,53.15,46.85,49.73,50.27,29236,0,1,1,0,0,0
3001491,중식음식점,용산구,3325,10,53.15,46.85,49.73,50.27,28766,0,1,1,0,0,0
3001491,치킨전문점,용산구,3350,11,53.15,46.85,49.73,50.27,423,0,0,0,0,1,0
3001491,커피-음료,용산구,3687,11,53.15,46.85,49.73,50.27,177896,1,1,1,1,1,1
3001491,패스트푸드점,용산구,2800,16,53.15,46.85,49.73,50.27,118601,1,1,1,1,1,1
3001491,한식음식점,용산구,3426,11,53.15,46.85,49.73,50.27,431789,1,1,1,1,1,1
3001491,호프-간이주점,용산구,4307,11,53.15,46.85,49.73,50.27,216659,1,1,1,1,1,1
3001492,분식전문점,중구,2250,9,99.09,0.91,49.42,50.58,170854,1,1,1,1,1,1
3001492,양식음식점,중구,2000,3,99.09,0.91,49.42,50.58,241286,1,1,1,1,1,1
3001492,중식음식점,중구,3000,4,99.09,0.91,49.42,50.58,211577,1,1,1,1,1,1
3001492,치킨전문점,중구,767,4,99.09,0.91,49.42,50.58,52922,1,1,1,1,1,0
3001492,커피-음료,중구,2125,4,99.09,0.91,49.42,50.58,723882,1,1,1,1,1,1
3001492,패스트푸드점,중구,1500,7,99.09,0.91,49.42,50.58,73635,1,1,1,1,1,0
3001492,한식음식점,중구,3000,5,99.09,0.91,49.42,50.58,2583134,1,1,1,1,1,1
3001492,호프-간이주점,중구,2500,5,99.09,0.91,49.42,50.58,139369,1,1,1,1,1,1
3001493,분식전문점,중구,2250,9,70.91,29.09,47.32,52.68,54355,1,1,1,1,1,0
3001493,양식음식점,중구,2000,3,70.91,29.09,47.32,52.68,75896,1,1,1,1,1,1
3001493,중식음식점,중구,3000,4,70.91,29.09,47.32,52.68,17410,0,1,0,0,0,0
3001493,치킨전문점,중구,767,4,70.91,29.09,47.32,52.68,3566,0,1,0,0,0,0
3001493,커피-음료,중구,2125,4,70.91,29.09,47.32,52.68,47860,1,1,1,1,1,0
3001493,패스트푸드점,중구,1500,7,70.91,29.09,47.32,52.68,54739,1,1,1,1,1,1
3001493,한식음식점,중구,3000,5,70.91,29.09,47.32,52.68,308632,1,1,1,1,1,1
3001493,호프-간이주점,중구,2500,5,70.91,29.09,47.32,52.68,27352,1,1,1,0,0,0
3001494,분식전문점,종로구,3971,13,94.88,5.12,54.48,45.52,90863,1,1,1,1,1,1
3001494,양식음식점,종로구,2833,6,94.88,5.12,54.48,45.52,63371,0,1,1,1,1,0
3001494,일식음식점,종로구,3357,12,94.88,5.12,54.48,45.52,128738,0,1,1,1,1,1
3001494,중식음식점,종로구,3917,12,94.88,5.12,54.48,45.52,103453,1,1,1,1,1,1
3001494,치킨전문점,종로구,6333,11,94.88,5.12,54.48,45.52,70540,1,1,1,1,1,1
3001494,커피-음료,종로구,4043,11,94.88,5.12,54.48,45.52,225456,1,1,1,1,1,1
3001494,패스트푸드점,종로구,5000,39,94.88,5.12,54.48,45.52,9716,0,1,0,0,0,0
3001494,한식음식점,종로구,4080,8,94.88,5.12,54.48,45.52,1332880,1,1,1,1,1,1
3001494,호프-간이주점,종로구,4071,10,94.88,5.12,54.48,45.52,228397,1,1,1,1,1,1
3001495,분식전문점,송파구,2883,12,74.06,25.94,48.27,51.73,63408,1,1,1,1,1,1
3001495,양식음식점,송파구,4900,16,74.06,25.94,48.27,51.73,118359,1,1,1,1,1,1
3001495,일식음식점,송파구,4166,10,74.06,25.94,48.27,51.73,80356,1,1,1,1,1,1
3001495,중식음식점,송파구,3636,9,74.06,25.94,48.27,51.73,30628,1,1,1,1,0,0
3001495,치킨전문점,송파구,3294,14,74.06,25.94,48.27,51.73,22835,0,1,1,0,0,0
3001495,커피-음료,송파구,3676,12,74.06,25.94,48.27,51.73,244842,1,1,1,1,1,1
3001495,패스트푸드점,송파구,4600,12,74.06,25.94,48.27,51.73,107694,1,1,1,1,1,1
3001495,한식음식점,송파구,3689,10,74.06,25.94,48.27,51.73,983182,1,1,1,1,1,1
3001495,호프-간이주점,송파구,3267,10,74.06,25.94,48.27,51.73,231268,1,1,1,1,1,1
3001496,분식전문점,강남구,4159,18,99.85,0.15,50.53,49.47,268110,1,1,1,1,1,1
3001496,양식음식점,강남구,6167,12,99.85,0.15,50.53,49.47,220084,1,1,1,1,1,1
3001496,일식음식점,강남구,4324,11,99.85,0.15,50.53,49.47,144567,1,1,1,1,1,1
3001496,중식음식점,강남구,6431,14,99.85,0.15,50.53,49.47,245421,1,1,1,1,1,1
3001496,커피-음료,강남구,5012,16,99.85,0.15,50.53,49.47,126096,1,1,1,1,1,1
3001496,패스트푸드점,강남구,7400,22,99.85,0.15,50.53,49.47,82110,1,1,1,1,1,1
3001496,한식음식점,강남구,5202,12,99.85,0.15,50.53,49.47,200041,1,1,1,1,1,1
